"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
50110-00133,제1-79호,어린이공원,제주특별자치도 제주시 화북1동 1957,제주특별자치도 제주시 화북1동 1957,33.521479,126.564829,3597,,,,,,,,,2017-06-26
50110-00132,제1-78호,어린이공원,제주특별자치도 제주시 외도1동 560-3,제주특별자치도 제주시 외도1동 560-3,33.485708,126.432012,2490,,,,,,,,,2017-06-26
50110-00131,제1-77호,어린이공원,제주특별자치도 제주시 외도1동 453-2,제주특별자치도 제주시 외도1동 453-2,33.490784,126.433878,3786,,,,,,,,,2017-06-26
50110-00130,제1-76호,어린이공원,제주특별자치도 제주시 외도1동 523-3,제주특별자치도 제주시 외도1동 523-3,33.488516,126.432252,3002,,,,,,,,,2017-06-26
50110-00129,제1-75호,어린이공원,제주특별자치도 제주시 외도1동 493-3,제주특별자치도 제주시 외도1동 493-3,33.4880397,126.428435,2617,,,,,,,,,2017-06-26
50110-00128,제1-74호,어린이공원,제주특별자치도 제주시 외도1동 452-1,제주특별자치도 제주시 외도1동 452-1,33.491175,126.433279,2220,,,,,,,,,2017-06-26
50110-00127,제1-73호,어린이공원,제주특별자치도 제주시 외도1동 455-1,제주특별자치도 제주시 외도1동 455-1,33.490064,126.427648,1864,,,,,,,,,2017-06-26
50110-00126,제1-72호,어린이공원,제주특별자치도 제주시 외도1동 442-5,제주특별자치도 제주시 외도1동 442-5,33.490599,126.430145,1850,,,,,,,,,2017-06-26
50110-00125,제1-71호,어린이공원,제주특별자치도 제주시 외도1동 438-3,제주특별자치도 제주시 외도1동 438-3,33.491531,126.427926,1500,,,,,,,,,2017-06-26
50110-00124,제1-70호,어린이공원,제주특별자치도 제주시 외도1동 634-6,제주특별자치도 제주시 외도1동 634-6,33.485704,126.430097,1536,,,,,,,,,2017-06-26
50110-00123,제1-69호,어린이공원,제주특별자치도 제주시 외도1동 492-11,제주특별자치도 제주시 외도1동 492-11,33.487277,126.427692,1690,,,,,,,,,2017-06-26
50110-00122,제1-68호,어린이공원,제주특별자치도 제주시 연동 1504-2,제주특별자치도 제주시 연동 1504-2,33.479627,126.491534,1542,,,,,,,,,2017-06-26
50110-00121,제1-67호,어린이공원,제주특별자치도 제주시 연동 1519-1,제주특별자치도 제주시 연동 1519-1,33.477793,126.489849,3787,,,,,,,,,2017-06-26
50110-00120,제1-66호,어린이공원,제주특별자치도 제주시 노형동 732-2,제주특별자치도 제주시 노형동 732-2,33.479212,126.486635,5322,,,,,,,,,2017-06-26
50110-00119,제1-65호,어린이공원,제주특별자치도 제주시 노형동 751-1,제주특별자치도 제주시 노형동 751-1,33.477823,126.480265,1889,,,,,,,,,2017-06-26
50110-00118,제1-64호,어린이공원,제주특별자치도 제주시 봉개동 1378,제주특별자치도 제주시 진목2길 17 (봉개동),33.488131,126.5999504,2210,,,,,,,,,2017-06-26
50110-00117,제1-63호,어린이공원,제주특별자치도 제주시 봉개동 1552-1,제주특별자치도 제주시 봉개동 1552-1,33.489445,126.597991,2863,,,,,,,,,2017-06-26
50110-00116,제1-62호,어린이공원,제주특별자치도 제주시 봉개동 1920-2,제주특별자치도 제주시 봉개동 1920-2,33.489303,126.593947,2360,,,,,,,,,2017-06-26
50110-00115,제1-61호,어린이공원,제주특별자치도 제주시 봉개동 2609-5,제주특별자치도 제주시 봉개동 2609-5,33.492695,126.591081,1740,,,,,,,,,2017-06-26
50110-00114,제1-60호,어린이공원,제주특별자치도 제주시 봉개동 2448-1,제주특별자치도 제주시 봉개동 2448-1,33.491177,126.589201,2160,,,,,,,,,2017-06-26
